;"Temp Consigna clima";"Temp aigua retorn Clima";"Temp aigua impulsió Clima"
"Lu 00:05";55;20;19
"Lu 00:10";55;20;19
"Lu 00:15";55;20;19
"Lu 00:20";55;20;19
"Lu 00:25";55;20;19
"Lu 00:30";55;20;19
"Lu 00:35";55;20;19
"Lu 00:40";55;20;19
"Lu 00:45";55;20;19
"Lu 00:50";55;20;19
"Lu 00:55";55;20;19
"Lu 01:00";55;20;19
"Lu 01:05";55;20;19
"Lu 01:10";55;20;19
"Lu 01:15";55;20;19
"Lu 01:20";55;20;19
"Lu 01:25";55;20;19
"Lu 01:30";55;20;19
"Lu 01:35";55;20;19
"Lu 01:40";55;20;19
"Lu 01:45";55;20;19
"Lu 01:50";55;20;19
"Lu 01:55";55;20;19
"Lu 02:00";55;20;19
"Lu 02:05";55;20;19
"Lu 02:10";55;20;19
"Lu 02:15";55;19,8;19
"Lu 02:20";55;19,8;19
"Lu 02:25";55;19,8;19
"Lu 02:30";55;19,8;19
"Lu 02:35";55;19,6;19
"Lu 02:40";55;19,6;19
"Lu 02:45";55;19,2;19
"Lu 02:50";55;19,4;19
"Lu 02:55";55;19,4;19
"Lu 03:00";55;19,2;19
"Lu 03:05";55;19,2;19
"Lu 03:10";55;19,2;19
"Lu 03:15";55;19,4;19
"Lu 03:20";55;19;19
"Lu 03:25";55;19,2;19
"Lu 03:30";55;19,2;19
"Lu 03:35";55;19;19
"Lu 03:40";55;19;19
"Lu 03:45";55;19;19
"Lu 03:50";55;19;19
"Lu 03:55";55;19;19
"Lu 04:00";55;19;19
"Lu 04:05";55;19;19
"Lu 04:10";55;19;19
"Lu 04:15";55;19;19
"Lu 04:20";55;19;19
"Lu 04:25";55;19;19
"Lu 04:30";55;19;19
"Lu 04:35";55;19;19
"Lu 04:40";55;19;19
"Lu 04:45";55;19;19
"Lu 04:50";55;19;19
"Lu 04:55";55;19;19
"Lu 05:00";55;19;19
"Lu 05:05";55;19;19
"Lu 05:10";55;19;19
"Lu 05:15";55;19;19
"Lu 05:20";55;19;19
"Lu 05:25";55;19;19
"Lu 05:30";55;19;19
"Lu 05:35";55;29,8;29
"Lu 05:40";55;26;30
"Lu 05:45";55;27,2;31
"Lu 05:50";55;28,6;33
"Lu 05:55";55;30,2;35
"Lu 06:00";55;31,6;36
"Lu 06:05";55;33;37
"Lu 06:10";55;34,2;38
"Lu 06:15";55;35,2;39
"Lu 06:20";55;36,2;41
"Lu 06:25";55;37;41
"Lu 06:30";55;37,8;42
"Lu 06:35";55;38,8;43
"Lu 06:40";55;39,8;44
"Lu 06:45";55;40,6;45
"Lu 06:50";55;41;45
"Lu 06:55";55;41,6;46
"Lu 07:00";55;42;47
"Lu 07:05";55;42,6;48
"Lu 07:10";55;43;48
"Lu 07:15";55;43,6;49
"Lu 07:20";55;44;49
"Lu 07:25";55;44,4;50
"Lu 07:30";55;45;50
"Lu 07:35";55;45;51
"Lu 07:40";55;45,6;51
"Lu 07:45";55;46;51
"Lu 07:50";55;46;52
"Lu 07:55";55;46,4;52
"Lu 08:00";55;47;52
"Lu 08:05";55;47;52
"Lu 08:10";55;47;53
"Lu 08:15";55;47;53
"Lu 08:20";55;48;53
"Lu 08:25";55;48;53
"Lu 08:30";55;48;53
"Lu 08:35";55;48,2;54
"Lu 08:40";55;49;54
"Lu 08:45";55;49;55
"Lu 08:50";55;49;55
"Lu 08:55";55;49;55
"Lu 09:00";55;49;55
"Lu 09:05";55;49,8;55
"Lu 09:10";55;50;55
"Lu 09:15";55;50;55
"Lu 09:20";55;50,4;56
"Lu 09:25";55;51;56
"Lu 09:30";55;51;56
"Lu 09:35";55;51;56
"Lu 09:40";55;51;56
"Lu 09:45";55;51;55
"Lu 09:50";55;51;55
"Lu 09:55";55;51;55
"Lu 10:00";55;50;55
"Lu 10:05";55;48;52
